video_id,authorDisplayName,textDisplay
3YeYUoybimM,@AlamSemenit,"Untuk yang ingin steril gratis, atau informasi mengenai program TSL. Bisa cari info di YPLI.<br><br>Website YPLI: <a href=""https://ypli.co.id/"">https://ypli.co.id</a><br>Follow instagramnya di: <a href=""https://www.instagram.com/yayasan_ypli?igsh=MWJwbmtlZ3hzYTNhZA=="">https://www.instagram.com/yayasan_ypli?igsh=MWJwbmtlZ3hzYTNhZA==</a><br>Youtube YPLI: <a href=""https://youtube.com/@yayasanypli?si=IXiTsJq6OIAXvwsg"">https://youtube.com/@yayasanypli?si=IXiTsJq6OIAXvwsg</a>"
3YeYUoybimM,@AlamSemenit,"Tambahan (akan diupdate berkala)<br><br>Lets Adopt Indonesia: <a href=""https://letsadoptindonesia.org/faq/"">https://letsadoptindonesia.org/faq/</a><br>Cat Rescue: <a href=""https://catrescue.id/"">https://catrescue.id</a><br>Dunia Kucing: <a href=""https://duniakucing.id/ragam-sterilisasi-di-klinik-dunia-kucing/"">https://duniakucing.id/ragam-sterilisasi-di-klinik-dunia-kucing/</a><br>Yayasan Peduli Kucing: <a href=""https://www.instagram.com/pedulikucing/?hl=en"">https://www.instagram.com/pedulikucing/?hl=en</a>"
3YeYUoybimM,@mardiyyanzaenudin6402,@@AlamSemenit nah ini! Thanks infonyaaa
3YeYUoybimM,@Khoirul_Akmal,@@AlamSemenit aku pengen punya kucing😢😭
3YeYUoybimM,@AlamSemenit,@khoirul-h4h  Silakan saja. Tapi saya mengimbau: Memelihara hewan itu komitmen kak. Seperti memiliki anggota keluarga. Bukan cuma ingin trus dicampakkan kalo udah bosen. Kasihan.
3YeYUoybimM,@adieraditz,"Pada dasarnya, street feeding tanpa adopsi adalah tindakan yg gak bertanggung jawab..... <br>Maunya ngasih makan, tp ga mau melaksanakan tanggung jawab sebagai pemeliharanya"
3YeYUoybimM,@SnakeSagacity,"Ego feeding tidak menyelesaikan masalah, cuma pemuas diri sesaat bagi yang memberi makan. Mereka yang kasih makan tapi orang lain yang harus membersihkan kotoran dan sisa makanan."
3YeYUoybimM,@franseneffendi3878,"bener saya setuju, kalo mau kasih makan kucing harus tanggung jawab, buat lingkungan sekitar, karena tempat makan tersebut akan semakin banyak kucing yg dateng , bahkan beranak, tainya dimana2 kecing dimana2. 😁"
3YeYUoybimM,@Rifzsyah,"Boleh aja nolong, tapi kucing terlantar dalam keadaan sakit, boleh kamu rawat, kalau cuman liar jalan jalan, pikirkan dulu.."
3YeYUoybimM,@demon-x1x101,Palaa bapak kau yang gak di kasih makan👿👿👿👿
3YeYUoybimM,@kir-yt-00,"cat lovers liat ini dikit gk terima sih terutama aku.. bukan berarti ngehujat ya.. tapi aku cat lovers kalo di komen ini banyak bgt menurutku yg gk suka kucing.. aku jadi gk suka pas pertama,gk boleh beri makan kucing liar..aku jika ketemu kucing liar akan ku beri makan karna iba.. dan juga aku ketemu kucing liar cuma 1 kali dan mereka gk aku liat lagi,jadi keknya aku gk cocok nonton kek ginian dah😅gk bermaksud nghina ya cuma pengen ngungkapin aja.."
3YeYUoybimM,@jodielazuardie2788,"Setuju banget, saya juga pecinta binatang dan saya sangat setuju ini!"
3YeYUoybimM,@Velmarvelos,Aku marah kan aku suka kucing bla bla bla aku skip video ini!!!!!!
3YeYUoybimM,@nungbatik,kalo buat judul jangan semau jidat mu aj pikir dulu pake otak..
3YeYUoybimM,@Jx_68,Nahkan orangnya dateng
3YeYUoybimM,@7like608,@@nungbatik Contohnya langsung dateng😸
3YeYUoybimM,@ditto960,nahkan panas sendiri
3YeYUoybimM,@Amangkusyahmora,Memberi makan kucing gak salah.... Yg salah itu orang yg memindahkan kucing ke lokasi  lain .... Jadilah pembuangan kucing...... Karena skarang gak ada lahan kosong padang ilalang.... Memang mereka telah berdampingan dengan manusia.... Kalau penyebaran penyakit ke manusia hanya penyakit kulit saja... Kalau kita gak bisa mengatasi populasi nya... Cat lovers sudah berusaha tapi yg buang kucing ras juga banyak... Gak sanggup di pakan...
